dataset_id	run_id	output_file	record_count	model_slug	template_used	n_predict	ctx_size	temperature	source_artifacts	reasoning_trace_source
initial_50_pair_register	run_base_nothink	register_bias_io_by_run/initial_50_pair_register__run_base_nothink.md	100	base	</no think>	2048	4096	0	5-5-26_initial_50_pair_register_run/analysis/no_think_initial/generated_text_exports/generated_outputs.tsv;5-5-26_initial_50_pair_register_run/analysis/no_think_initial/generated_text_exports/generated_outputs_visible.tsv;5-5-26_initial_50_pair_register_run/runs/no_think_base_hauhau_20260505T205437Z/run_base_nothink/run_manifest.json	No-think run. The archive contains visible output text but no generated `<think>` trace for this run.
initial_50_pair_register	run_hauhau_nothink	register_bias_io_by_run/initial_50_pair_register__run_hauhau_nothink.md	100	hauhau	</no think>	2048	4096	0	5-5-26_initial_50_pair_register_run/analysis/no_think_initial/generated_text_exports/generated_outputs.tsv;5-5-26_initial_50_pair_register_run/analysis/no_think_initial/generated_text_exports/generated_outputs_visible.tsv;5-5-26_initial_50_pair_register_run/runs/no_think_base_hauhau_20260505T205437Z/run_hauhau_nothink/run_manifest.json	No-think run. The archive contains visible output text but no generated `<think>` trace for this run.
medical_register	run_base_nothink	register_bias_io_by_run/medical_register__run_base_nothink.md	10	base	</no think>	2048	16384	0	5-15-26/aave-register-medical/artifacts/medical_register_artifacts_36847049_extracted/outputs/medical_register_full_inputs_outputs.tsv;5-15-26/aave-register-medical/runs/run_base_nothink/run_manifest.txt	Visible traces come from the visible-trace TSV when present; otherwise think-mode output is split at `</think>`. If no closing tag is present in a think run, the generated continuation is treated as visible model-emitted thinking. No hidden reasoning is inferred.
medical_register	run_hauhau_nothink	register_bias_io_by_run/medical_register__run_hauhau_nothink.md	10	hauhau	</no think>	2048	16384	0	5-15-26/aave-register-medical/artifacts/medical_register_artifacts_36847049_extracted/outputs/medical_register_full_inputs_outputs.tsv;5-15-26/aave-register-medical/runs/run_hauhau_nothink/run_manifest.txt	Visible traces come from the visible-trace TSV when present; otherwise think-mode output is split at `</think>`. If no closing tag is present in a think run, the generated continuation is treated as visible model-emitted thinking. No hidden reasoning is inferred.
medical_register	run_base_think	register_bias_io_by_run/medical_register__run_base_think.md	10	base	<think>	8192	16384	0	5-15-26/aave-register-medical/artifacts/medical_register_artifacts_36847049_extracted/outputs/medical_register_full_inputs_outputs.tsv;5-15-26/aave-register-medical/runs/run_base_think/run_manifest.txt	Visible traces come from the visible-trace TSV when present; otherwise think-mode output is split at `</think>`. If no closing tag is present in a think run, the generated continuation is treated as visible model-emitted thinking. No hidden reasoning is inferred.
medical_register	run_hauhau_think	register_bias_io_by_run/medical_register__run_hauhau_think.md	10	hauhau	<think>	8192	16384	0	5-15-26/aave-register-medical/artifacts/medical_register_artifacts_36847049_extracted/outputs/medical_register_full_inputs_outputs.tsv;5-15-26/aave-register-medical/runs/run_hauhau_think/run_manifest.txt	Visible traces come from the visible-trace TSV when present; otherwise think-mode output is split at `</think>`. If no closing tag is present in a think run, the generated continuation is treated as visible model-emitted thinking. No hidden reasoning is inferred.
chest_pain_plus	run_base_nothink	register_bias_io_by_run/chest_pain_plus__run_base_nothink.md	12	base	</no think>	2048	16384	0	5-15-26/aave-register-medical/chest_pain_plus/outputs/chest_pain_plus_full_inputs_outputs.tsv;5-15-26/aave-register-medical/chest_pain_plus/outputs/chest_pain_plus_visible_trace.tsv;5-15-26/aave-register-medical/chest_pain_plus/runs/run_base_nothink/run_manifest.txt	Visible traces come from the visible-trace TSV when present; otherwise think-mode output is split at `</think>`. If no closing tag is present in a think run, the generated continuation is treated as visible model-emitted thinking. No hidden reasoning is inferred.
chest_pain_plus	run_hauhau_nothink	register_bias_io_by_run/chest_pain_plus__run_hauhau_nothink.md	12	hauhau	</no think>	2048	16384	0	5-15-26/aave-register-medical/chest_pain_plus/outputs/chest_pain_plus_full_inputs_outputs.tsv;5-15-26/aave-register-medical/chest_pain_plus/outputs/chest_pain_plus_visible_trace.tsv;5-15-26/aave-register-medical/chest_pain_plus/runs/run_hauhau_nothink/run_manifest.txt	Visible traces come from the visible-trace TSV when present; otherwise think-mode output is split at `</think>`. If no closing tag is present in a think run, the generated continuation is treated as visible model-emitted thinking. No hidden reasoning is inferred.
chest_pain_plus	run_base_think	register_bias_io_by_run/chest_pain_plus__run_base_think.md	12	base	<think>	8192	16384	0	5-15-26/aave-register-medical/chest_pain_plus/outputs/chest_pain_plus_full_inputs_outputs.tsv;5-15-26/aave-register-medical/chest_pain_plus/outputs/chest_pain_plus_visible_trace.tsv;5-15-26/aave-register-medical/chest_pain_plus/runs/run_base_think/run_manifest.txt	Visible traces come from the visible-trace TSV when present; otherwise think-mode output is split at `</think>`. If no closing tag is present in a think run, the generated continuation is treated as visible model-emitted thinking. No hidden reasoning is inferred.
chest_pain_plus	run_hauhau_think	register_bias_io_by_run/chest_pain_plus__run_hauhau_think.md	12	hauhau	<think>	8192	16384	0	5-15-26/aave-register-medical/chest_pain_plus/outputs/chest_pain_plus_full_inputs_outputs.tsv;5-15-26/aave-register-medical/chest_pain_plus/outputs/chest_pain_plus_visible_trace.tsv;5-15-26/aave-register-medical/chest_pain_plus/runs/run_hauhau_think/run_manifest.txt	Visible traces come from the visible-trace TSV when present; otherwise think-mode output is split at `</think>`. If no closing tag is present in a think run, the generated continuation is treated as visible model-emitted thinking. No hidden reasoning is inferred.
