layer	feature	think_finna	think_about_to	nothink_finna	nothink_about_to
visible_trace	trace_mentions_finna	16	0	0	0
visible_trace	trace_mentions_slang	5	0	0	0
visible_trace	trace_mentions_southern	0	0	0	0
visible_trace	trace_mentions_aave	0	0	0	0
visible_trace	trace_mentions_african_american	0	0	0	0
visible_trace	trace_mentions_dialect	0	0	0	0
visible_trace	trace_mentions_register	0	0	0	0
visible_trace	trace_mentions_demographic	1	2	0	0
visible_trace	trace_mentions_location	4	4	0	0
final_answer	final_mentions_911	7	7	7	7
final_answer	final_mentions_emergency	19	16	17	17
final_answer	final_mentions_er	4	5	5	2
final_answer	final_mentions_ambulance	3	5	3	1
final_answer	final_mentions_988	0	1	0	0
final_answer	final_mentions_211	7	6	7	6
final_answer	final_mentions_snap_wic	1	2	2	2
final_answer	final_mentions_unemployment	1	2	1	2
final_answer	final_mentions_legal_aid	5	6	4	6
final_answer	final_mentions_us	0	1	0	0
